filePath,totalLines,wordCount,totalByteCount,maxLineWidth
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/lasVegas/main.cpp,269,528,6910,184
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/main.cpp,252,557,5400,99
/home/home/Desktop/programming/c++/dataStructures/graph/bfsPath/main.cpp,244,404,5008,172
/home/home/Desktop/programming/c++/dataStructures/graph/isEdgeInGraph/main.cpp,205,234,2509,81
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/FibonacciSearcher/fibonacci_search_sorted_array.cpp,190,233,2780,153
/home/home/Desktop/programming/c++/dataStructures/graph/cycle/main.cpp,186,211,2272,97
/home/home/Desktop/programming/c++/algorithms/recursion/main1.cpp,167,371,1773,50
/home/home/Desktop/programming/c++/dataStructures/graph/countConnectedElements/main.cpp,164,201,2101,69
/home/home/Desktop/programming/c++/SimpleProgramOpener/main.cpp,163,296,2976,91
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/homework/sort_event_odd_row.cpp,157,127,1408,59
/home/home/Desktop/programming/c++/dataStructures/graph/hamiltonCycle/main.cpp,146,268,2596,93
/home/home/Desktop/programming/c++/dataStructures/graph/GraphUtil.h,145,309,5000,166
/home/home/Desktop/programming/c++/algorithms/backtrack/backTrackWorking.cpp,141,90,881,43
/home/home/Desktop/programming/c++/algorithms/recursion/main2.cpp,140,72,741,31
/home/home/Desktop/programming/c++/algorithms/backtrack/backTrack.cpp,139,151,1561,58
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/homework/combine_two_sorted_arrays_in_one.cpp,136,134,2351,152
/home/home/Desktop/programming/c++/dataStructures/graph/graphColoring/main.cpp,133,224,2687,89
/home/home/Desktop/programming/c++/algorithms/backtrack/eightQueen/main.cpp,126,268,2653,142
/home/home/Desktop/programming/c++/algorithms/geneticAlgorithm/main.cpp,126,238,4102,151
/home/home/Desktop/programming/c++/dataStructures/graph/myGraphTraversal.cpp,126,125,1147,58
/home/home/Desktop/programming/c++/dataStructures/graph/dfs/graphDfsOptimized.cpp,121,153,1524,121
/home/home/Desktop/programming/c++/dataStructures/graph/dijkstra/gymPath/generateTheGraphForGym.cpp,120,77,1348,139
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/NumberFinder.h,108,246,3150,142
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/egymptianFraction/egyptianFractionSecond/main.cpp,107,235,3645,170
/home/home/Desktop/programming/c++/dataStructures/graph/bfs/graphBfs.cpp,105,222,2154,114
/home/home/Desktop/programming/c++/dataStructures/graph/Graph/include/Graph.cpp,104,172,2932,108
/home/home/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/KruskalUtil.h,103,222,3560,166
/home/home/Desktop/programming/c++/dataStructures/graph/shortedConnectionInGraph/main.cpp,99,101,875,71
/home/home/Desktop/programming/c++/dataStructures/graph/dfs/graphDfs.cpp,97,74,950,90
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main2.cpp,96,63,578,61
/home/home/Desktop/programming/c++/dataStructures/graph/dijkstra/DijkstraStackUtil.h,94,194,3294,179
/home/home/Desktop/programming/c++/dataStructures/LinkedList/include/LinkedListHelper.cpp,90,137,2565,94
/home/home/Desktop/programming/c++/dataStructures/graph/shortestConnectionInEdge/main.cpp,89,83,761,94
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/hw/isArrayMonotonouseInreasing.cpp,87,65,566,53
/home/home/Desktop/programming/c++/geeksforgeeks/loops.cpp,79,67,715,53
/home/home/Desktop/programming/c++/algorithms/recursion/lect/hw2.cpp,77,77,913,41
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/homework/onUnsortedToSorted.cpp,76,31,371,57
/home/home/Desktop/programming/c++/dataStructures/graph/dijkstra/dijkstra.cpp,76,132,2725,148
/home/home/Desktop/programming/c++/dataStructures/graph/weightedGraph/main.cpp,76,50,474,117
/home/home/Desktop/programming/c++/algorithms/probabilisticAlgorithms/calculatePiUsingRadndomNumbers/main1.cpp,74,52,527,64
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/main1.cpp,73,189,1835,164
/home/home/Desktop/programming/c++/dataStructures/graph/dijkstra/main.cpp,72,855,3384,88
/home/home/Desktop/programming/c++/dataStructures/graph/kruskalAlgorithm/CycleDetector.cpp,69,137,2748,126
/home/home/Desktop/programming/c++/algorithms/Printer.h,68,169,1693,93
/home/home/Desktop/programming/c++/algorithms/greedyAlgorithms/egymptianFraction/egyptianFractionFirst/main.cpp,67,104,1544,110
/home/home/Desktop/programming/c++/dataStructures/graph/eulerCycle/main.cpp,67,105,1323,86
